user_story,use_case,priority
"As an authenticated user, I want to register and sign in so that I can securely use the system.","User registration and login","Must"
"As an authenticated user, I want to upload an audio or video file so that the system can analyze it.","Upload media file","Must"
"As an authenticated user, I want uploaded media to be processed asynchronously so the UI remains responsive.","Queue media processing","Must"
"As an authenticated user, I want the system to create a transcript so spoken content becomes readable.","Transcribe media","Must"
"As an authenticated user, I want the system to save analysis results so that I can review them later.","Save analysis results","Must"
"As an authenticated user, I want to view processed items in a dashboard.","View analysis dashboard","Must"
"As an authenticated user, I want a summary of the transcript so I can review content quickly.","Summarize transcript","Should"
"As an authenticated user, I want named entity extraction so I can detect important references.","Extract named entities","Should"
"As an authenticated user, I want to manage an entity watchlist so alerts can be personalized.","Update entity watchlist","Should"
"As an authenticated user, I want alert matches to be highlighted when watched entities are found.","Review alert matches","Should"
"As an administrator, I want containerized deployment so the system is reproducible.","Deploy with Docker Compose","Should"
"As a user, I want richer notifications for matches so I can react without opening the dashboard.","Send external notifications","Could"
"As a user, I want filtering and search on historical results.","Filter historical analysis","Could"
"As a developer, I want automated AI integration tests for production models.","Run full AI integration validation","Could"
"As a user, I want anonymous access without sign-in.","Anonymous access","Won't"
